City Name,Zone Name,Ward name,Ward No,Bins-Street sweeping waste (TPD),Bins-Size of street bins (in litres),Bins-No of street bins,"Community bins/ compactor bins/ Dhalaos
 etc-Major commercial market, sabzi mandi details","Community bins/ compactor bins/ Dhalaos
 etc-Commercial Waste quantity (TPD)","Community bins/ compactor bins/ Dhalaos etc-Type of 
community bins/ compactor bins provided","Community bins/ compactor bins/ Dhalaos 
etc-Size of bins/ containers (L)","Community bins/ compactor bins/ Dhalaos 
etc-Year of purchase"
Pune,Nagar Road-Wadgaon Sheri,Viman Nagar,3,4.3,70,170,0,0,0,0,0
Pune,,Kharadi-Chandan Nagar,4,6.1,70,120,0,0,0,0,0
Pune,,Wadgaon-Sheri-Kalyani nagar,5,3.8,70,80,0,0,0,0,0
Pune,Yerwada kalas Dhanori,Kalas-Dhanori,1,4.4,70,40,0,0,0,0,0
Pune,,Phule Nagar-Nagpur Chwal,2,4.1,70,92,0,0,0,0,0
Pune,,Yerawada,6,1.4,70,100,0,0,0,0,0
Pune,Dhole Patil Road,Tadiwala Road-Sasoon Hospital,20,3.9,70,44,0,0,0,0,0
Pune,,Koregain Park-Ghorpadi,21,4.8,70,126,0,0,0,0,0
Pune,Aundh Baner,Aundh-Bopodi,8,4.1,70,284,0,0,0,0,0
Pune,,Baner-Balewadi-pashan,9,9.2,70,164,0,0,0,0,0
Pune,Shivaji Nagar-Ghole Road,Pune University-Wakdewadi,7,3.6,70,181,0,0,0,0,0
Pune,,Deccan Gymkhana-Model Colony,14,4.1,70,451,0,0,0,0,0
Pune,Kothrud Bavdhan,Bavdhan-Kothrud Depot,10,5,70,125,0,0,0,0,0
Pune,,Rambaugh Colony-Shivtirth Nagar,11,2.6,70,322,0,0,0,0,0
Pune,,Mayur Colony-Dahanukar Colony,12,4,70,147,0,0,0,0,0
Pune,Dhanawadi Sahakarnagar,Sahakarnagar-Padmavati,35,3.4,70,131,0,0,0,0,0
Pune,,Dhankawadi-Ambegaon Pathar,39,4.2,70,31,0,0,0,0,0
Pune,,Dutta Nagar-Katraj Gaothan,40,5,70,100,0,0,0,0,0
Pune,Sinhagad Road,Janta Vasahat-Duttawadi,30,1.1,70,100,0,0,0,0,0
Pune,,Wadgaon Dhayri-Wadgaon Budruk,33,10.4,70,108,0,0,0,0,0
Pune,,Suncity-Hingne Khurd,34,4.5,70,84,0,0,0,0,0
Pune,Warje karve Nagar,Erandawana-Happy Colony,13,4,70,110,0,0,0,0,0
Pune,,Karvenagar,31,3.7,70,82,0,0,0,0,0
Pune,,Warje-Malwadi,32,4.4,70,150,0,0,0,0,0
Pune,Hadapsar Mundhwa,Mundhwa-Magarpatta City,22,3.9,70,152,0,0,0,0,0
Pune,,Hadapsar Gaothan-Satav Wadi,23,4.1,70,110,0,0,0,0,0
Pune,,Mohammad Wadi-Kausar Bhugh,26,7.5,70,486,0,0,0,0,0
Pune,Wanawadi Ramtekdi,Ramtekdi-Sasane Nagar,24,1.4,70,52,0,0,0,0,0
Pune,,Wanawadi,25,4.5,70,225,0,0,0,0,0
Pune,,Kondhwa Khurd-Mittha Nagar,27,4.4,70,181,0,0,0,0,0
Pune,Kondhwa Yewalewadi,Balaji Nagar-Rajiv Gandhi Nagar,38,4.3,70,108,0,0,0,0,0
Pune,,Kondhwa Budruk-Yewalewadi,41,5,70,155,0,0,0,0,0
Pune,Kasba Vishrambaugh Wada,Shaniwar Peth-Sadashiv Peth,15,3.5,70,140,0,0,0,0,0
Pune,,Kasba Peth-Somwarpeth,16,2.9,70,51,0,0,0,0,0
Pune,,Navi Peth-Parvati,29,2.8,70,58,0,0,0,0,0
Pune,Bhawadi Peth,Rasta Peth-Ravivar Peth,17,2.4,70,59,0,0,0,0,0
Pune,,khadakmal Ali-Mahatma Phule Peth,18,2.5,70,67,0,0,0,0,0
Pune,,Lohiya Nagar-Kashewadi,19,0.6,70,48,0,0,0,0,0
Pune,Bibwewadi,Salibary Park_ Mukund Nagar,28,3.4,70,78,0,0,0,0,0
Pune,,Bibwewadi-Bibwewadi Gaothan,36,3.3,70,75,0,0,0,0,0
Pune,,Upper Indra Nagar,37,2.2,70,32,0,0,0,0,0
Pune,Ward 42,"Kondhwa-Yelwalewadi,Dhankawadi-Sahakanagar,Hadapsar-Mundhwa,Sinhagad Road,Warje-Karvenagar.","42(12,7,10,8,9)",6.9,70,150,0,0,0,0,0
